appid,short_description
857,"Your choices changes the GENRE of the story!Almost EVERY NPC LIES to you at some point in the game!Live a life of adventure or a normal life! A game with true choices!An interactive story/game where you play the role of Ryou, a seemingly normal high school student in the land of Sorayama."
858,"The legacy of the critically acclaimed Giant games, already continued by the successful &quot;Train Giant“, highlights now the popular theme Agriculture up to a new level in “Farming Giant”, presented by UIG. In the best tradition of the giants-series the player will get a first-class business simulation crafted with a lot of details."
859,"Reintroduce yourself to this classic YDKJ sequel! All the fun of Volume 1, but with completely different questions, host, and smell! YOU DON’T KNOW JACK Volume 2 is the mutant offspring of the original award-winning, irreverent, fast-paced trivia game where you are a contestant on a manic game show."
860,"Blood of the Werewolf (2.0) Become Selena, loving mother, devoted wife and -- powerful werewolf. Take revenge on the monsters that have slain your husband and stolen your child, in this love letter to classic platformers."
861,"They came in peace, but messed with the wrong old man. Armed with a musket, 78 year old Murray Mendelson has single-handedly started an interstellar war. Shoot first and ask questions later in this endless fast paced arcade shooter. Use everything in Murray’s arsenal to keep the aliens off of his perfectly manicured lawn!"
862,"The Four Kings Casino &amp; Slots is a rich social online multiplayer casino gaming experience. Play all of your favorite casino games like Poker, Blackjack, Roulette, Craps, Baccarat, Slots and more! Meet friends, climb the leaderboards and win rewards to customize your avatar."
863,"In this comedy of terrors, the fate of the spirit world is in your hands as you embark on a search for your long-lost sibling!"
864,"After a tragic accident, neurobiologist Dr. David Styles has become a recluse, rarely leaving his home, the Dread Hill House. One day, Samantha Everett, a street magician, appears at Dr. Style's doorstep just as he is seeking a new assistant."
865,"You have command of paramedics, fire brigades, police and disaster relief. Send your teams out on tense real-time missions to deal with disasters in Europe's major centres."
866,"Lethal League is a competitive projectile fighting game where you have to hit an anti-gravity ball into the face of your opponent to win. The ball speeds up with every strike, up to explosively extreme velocities. Play intense local matches with friends and foes, challenge yourself in the singleplayer mode or battle it out online."
867,"A fast paced FPS with an engrossing storyline written by cult Scottish author Christopher Brookmyre. You play Heather Quinn aka “Athena” trapped in a world of video games, desperate to find a way back home. Will you make it? Or will you be trapped here forever? Here's where you find out.."
868,"One fine day, Eryi went to eat the melon that she had been SO looking forward to... but it was nowhere to be found! Then she noticed a note on the table. She picked it up and read: &quot;Your melon looked delicious, so I took it. From Farta X&quot; Fuming with rage, Eryi set out from her house to get her melon back from Farta."
869,"An isometric orgy of big smashy pixelart and big smashy chiptunes. Battle your way through corporate architecture and brain dead, buzzword-spewing, middle managers using office supplies as weapons...Fight back against the forces of tyranny and liberate your fellow coworkers from the oppressive evil that dominates them..."
870,Vanguard Princess is a classic 2D fighting game that features an all-female cast each with their own unique fighting style. Choose from ten girls with unique fighting skills and pair them with a powerful partner to form an unstoppable team.
871,Jets'n'Guns is a heavy piece of ground shaking rock blasting action with graphics and special effects that will blow you eyes out! Enjoy yourself in almost-insane action adventure of saving the universe from the deadly threat of more than 270 unique monsters in the campaign of 43 levels.
872,"The Dungeon Lord is back – and this time he’s serious! In Dungeons 2, fulfil the Dungeon Lord’s insatiable quest for vengeance by recruiting fearsome new monsters from all corners of the underworld in order to undertake his evil bidding."
873,"The fastest platformer around just got even faster – avoid fatal hazards, dodge hostile robots and use the Level Editor tools to create your own amazing Cloudbuilt stages!"
874,"In the year of 18XX, the west is overrun by thugs and outlaws. A group of bandits have kidnapped Mayor Johnsons daughter and are spreading havok across the land. Only Gunman Clive can bring order to the west and save the girl!Jump and shoot your way across 16 diverse and challenging levels and fight massive bosses."
875,"Little Racers STREET fuses the fun-oriented simplicity of top-down racing games with the excitement of street racing, and the results couldn't be better!"
876,"Freedom Fall is a diabolical down-scrolling platformer set in a prison tower so tall it touches the clouds. Presented with hand painted art, its old school vibe mixes with fast-paced free falling action and a story with both dark wit and heart."
877,"Journey to the dark heart of the Edgewood Home for Lost Children in this fiendishly difficult action RPG!When her teacher stepped out of the classroom a month ago, Cordy never imagined he would be gone for good. Now her fellow students have turned on each other as the school descends into chaos."
878,"Thousands of aliens, giant spiders, mutant lizards, and more are on the attack - can you survive the onslaught? Crimsonland is a top-down shooter with a touch of RPG. Unlock over 30 weapons and over 50 perks from quirky to brutal. Complete the quest and show your skills in five survival modes."
879,Smooth Operators is an advanced simulation where you take control of a call center company and lead it to financial success! Watch your company become alive and grow while your building reach the highest skyline. What type of CEO will you be?
880,"From multi-award winning Revolution Software comes the latest explosive episode in this classic series. Playing as intrepid American George Stobbart and sassy French journalist Nico Collard, you find yourself on the trail of a stolen painting – and a murderous conspiracy."
881,"Castle In The Darkness is a fun and challenging shout out to the early days of video games! It's an action exploration platformer with some RPG elements, much like games from the Castlevania or Metroid series. It's super fast-paced, challenging, and full of secrets!"
882,"The local multi-player space narwhal fighting game that has rocked the internet is finally ready for its big debut in a fully loaded release! Flop it out with 1-4 players in a retro, epic narwhal battle in space! The heart-piercing action is furious and unrelenting. STARWHAL will change your life."
883,"Blockstorm is a FPS game set in a world made of destructible blocks. All maps and characters included in the game are made with the same tools that are available to the public. You can build everything in Blockstorm, and you can destroy it."
884,"The media is quick to put figures to death tolls in such disasters, and 9.03m tries to remind people of the individuals behind those figures. 9.03m is set on Baker Beach in San Francisco, where debris from the tsunami has washed ashore in the years following the tsunami. To play, you must find the butterflies."
885,Saturday Morning RPG is an episodic JRPG set in world heavily inspired by 1980s Saturday morning cartoons and pop culture.
886,"3089 is a futuristic, procedurally generated, open-world action role-playing game. All terrain, enemies, weapons, items, quests &amp; more are uniquely generated. Will you obey your creator, the Overlord, or find your own path?"
887,"The beautiful, enchanted world of Driftmoon trembles in the shadow of a forgotten evil, for the dark King Ixal is again gathering his forces.Hope lies in an unlikely alliance: A young man joins forces with a little firefly dreaming of stardom, a panther queen with the ego of a moon whale, and a very determined fellow who's lost..."
888,"War of the Human Tanks is a story driven strategy game with a gameplay reminiscent of Battleship and Chess, featuring a story of war, loyalty, sacrifice and human shaped tanks."
889,"Manipulate your wrists, elbows and shoulders to get the arrow to the bow, draw it, aim and fire!Probably Archery gives the player more control over the minutia of their joint movements with tons of crazy scenarios to conquer, multiplayer battles to fight and brutal target challenges to dominate."
890,"Dragons and Titans is a fast paced MOBA with classic RPG elements. Select from over 30 unique dragons and 30 legendary weapons. Upgrade dragons and forge weapons to unlock more power. Free your Titan in 5v5 PvP battles across 3 different map types or play in ‘Adventure Mode’, traveling across different regions and unlocking rewards."
891,"Welcome to a land you'll never want to leave! Villagers and Heroes is a free-to-play MMO game in which players experience not just the thrill of battling unique monsters or the satisfaction of tailoring an exquisite robe, but the pleasure of building lasting friendships within a friendly community."
892,"Paper Sorcerer is a stylish single player turn based RPG focused on strategy, party-building, and environmental puzzles. Fight with the skills and spells you've learned in a battle system that emphasizes strategy over grinding. Assemble a party of monsters and dark creatures to fight alongside you."
893,"Take on the role of a warrior maiden forced to hunt down her best friend, who has stolen a sacred demon blade. Immerse yourself in the tale of a deadly feud between two old friends and the demonic sword tearing them apart―told through high-speed action!"
894,"SPACECOM – a strategic-to-the-bone, starfleet command game in which deception, smart movement, and choices to battle decide victory or defeat."
895,Aqua Kitty is a fast paced retro styled submarine arcade shooter with optional 2 player local Co-op.Blast through hordes of mechanical sea monsters in your kitty sub and defend the deep sea milk mining kittens!THE MILK MUST FLOW!
896,"A cross-platform, cooperative, multiplayer, zombie death-fest. Slaughter your way through many different maps, game modes and enemies - With tons of weapons and customization options!"
897,"You play an explorer stranded on a dangerous alien planet. Low on fuel, your only hope for escape is to find the planet’s core in this incredibly clever action-puzzle-platformer."
898,"Experience cinematic kung-fu battles in the fastest, most intense brawler the indie world has ever seen! With the unique 1:1 response system of One Finger Death Punch, players will feel the immediate feedback of every bone-crunching hit. Pay tribute to the masters using five classic kung-fu styles mixed with additional weapons."
899,"Mr. Bree+ is a hardcore sidescrolling adventure platformer, enriched with great visual and musical aspects. It's about 60 levels of pure challenge, revealing along the progress, the dark past events which tells the story of our hero, a householding family pig, Mr. Bree."
900,"99 Levels to Hell is a platform shooter with lots of guns, upgrades, magic, traps and monsters to kill. 99 Levels to Hell is a rogue-like, which means surviving is key and every time you play you get a new set of levels to play. When you complete 10 levels, the 10th being a boss-fight you unlock a door to the next dungeon."
901,"Arcade cover shooter inspired by Time Crisis, Metal Slug and 80's action heros! He's got an itchy trigger finger, some scratchy stubble, and a fondness for shooting dudes in the face. Run and gun your way through gorgeous 3D environments as you embark on a mission to rescue your kidnapped girlfriend from the Forces of Evil."
902,This is a story of disease and suffering; of medication and adverse effects; of thoracotomy scars and cellular poisons; of the living who cannot help but to die and of the dying who cannot help but to live; of a resting place other than &quot;on 7F&quot; or &quot;at home&quot;.
903,"Descend into the depths of an alien underwater world filled with wonder and peril. Craft equipment, pilot submarines and out-smart wildlife to explore lush coral reefs, volcanoes, cave systems, and more - all while trying to survive."
904,"Can you survive the horror? … a retro-style survival horror game developed by the two-man indie team of Gonzossm and Iggy Zuk. Survive 30 days and nights in a zombie-infested world by recruiting companions, upgrading weaponry and fortifying your position."
905,"How far would you go to save your best friend?For Gomo, the answer to this question is clear: To the end of the world and further, if necessary.Join him on his journey through the bizarre 2D landscapes of this dreamlike Point &amp; Click Adventure!"
906,"Grimind is a 2D, physics based, adventure, platform game in horror/creepy theme. Grimind casts you into forgotten caves and ancient crypts, without memories. While being there you have to demonstrate great manual skills to pass obstacles and solve non trivial puzzles to get out of scary environment and additionally discover what are you..."
907,"Epic Battle Fantasy 4 is a light-hearted turn-based RPG, heavily inspired by old classics like Final Fantasy and Golden Sun. You will battle through waves of adorable enemies, grow your characters, explore a diverse world, solve puzzles, and of course, save the world."
908,"Multiplayer based, first person enabled, action packed and skill demanding shooter set in the Wild West times. A unique combination of non stop action and slow but powerful weaponry."
909,"NaissanceE is an obscure and magical first person exploration game, a philosophical trip and an artistic experience. The adventure takes place in a primitive mysterious structure and the game mainly consists to explore and feel the deep and strong ambiance of this atemporal world."
910,"Secret Ponchos is a highly competitive PvP fighting game set in a stylish Spaghetti Western universe. The unique, fast-paced gameplay in 3v3 battles creates an environment where PvP skills will be put to the test every match."
911,"For victory you need only three tools - Cannons, Lasers and Rockets! Discover a spaceship MOBA game with 2D combat in 3D environment, wide variety of play styles and fun gameplay for casual and pro gamers alike."
912,"Monochroma is a cinematic puzzle platformer. It’s a game about being a kid, growing up with a little brother that needs your help, facing obstacles and solving unique puzzles in a dystopian 1950's setting."
913,"Hexcells is an ambient logic puzzle game for PC, Mac and Linux."
914,Goat Simulator is the latest in high-tech Goat Simulation technology.
915,Ether One is a first person adventure that deals with the fragility of the human mind. There are two paths in the world you can choose from. At its core is a story exploration path free from puzzles where you can unfold the story at your own pace.
916,Rogue's Tale is a single player turn-based dungeon crawling game.The game takes place in a place called Frostmourn Keep and its underlying dungeons located in the World's End Mountains. The goal is to overthrow the current king of the Frostmourn Keep and become the new king.
917,Deceptively simple. Infinitely complex. LYNE is a minimalist puzzle game that will knot your brain as it calms your soul. Connect the shapes. Fill the board. Lose yourself in the interflowing paths of LYNE.
918,The Trading Card Game in Augmented Reality.
919,Tower of Guns is a fast paced first-person-shooter for the twitch gamer... with a few randomized elements to keep it fresh with each playthrough. It's a short burst &quot;Lunch Break FPS&quot;... not unlike Binding of Isaac mixed with Doom 2. Tower of Guns was made by a guy named Joe (with his brother Mike composing the music).
920,"Breach &amp; Clear brings deep tactical strategy simulation to PC, Mac and Linux! Build your Special Operations team, plan and execute advanced missions, and own every angle.Choose your real-world squad -- US Army Rangers, Germany's KSK, Canada’s JTF2, UK SAS, and more -- and take on a variety of foes with different skill-sets and..."
921,"Across all dimensions, the only constant is Darkness! A procedurally generated RPG-roguelike journey across the multiverse! In One Way Heroics, you take on the role of an intrepid adventurer who must travel across the land and face the Demon Lord before a mysterious darkness engulfs everything."
922,"GameGuru is a non-technical and fun game maker. It allows you to build your own game world, using creative and enjoyable tools. Populate your game by placing down characters, weapons and other game items, then press one button to build your game, ready to play and share."
923,"Your community was taken down by a heavy storm which caused an apocalypse and unleashed the living dead. Together with the other survivors, it is your task to rebuild and to allow that sustainable life can still be assured. Cultivate your farm and manage your restaurant to provide food and deal with all the zombies."
924,"Turn your entire digital life into a game. AArcade is a 3D desktop that launches shortcuts to absolutely anything you like. Join the anarchy of the persistent online metaverse, or remain in your own private reality. Casual in-game building features, plus hundreds of thousands of addons."
925,"Step into the space suit of valiant gravity badger Captain T Bayback as he ventures into the deadly depths of deep space to save his friends, family and the universe itself from the threat of the deadly Evil Honey Badgers, aka the Hellsett."
926,"Beware Planet Earth! is a beguiling mix of classic tower defense and time management coming to PC via Steam for the first time. Save your cows from the Martian invasion by building an effective defense using towers, traps and objects, and also by firing your Zapper directly at the invading force of little green men!"
927,MURI is a DOS-style shooter from Remar Games and Ludosity. Features PC Speaker sound and 16-color EGA graphics.
928,"Booming turbine noise, kerosene smells in the air and constant change and new challenges: The daily life of a large airport is perfectly presented and is a particular challenge in this professional and economic airport simulation."
929,"A new Gear arises, its name Leopaldon. As they threaten to lay waste to the world, you prepare to mount your offense. The good news? You won't have to face them alone. Guilty Gear Isuka introduces the brand new mechanic of cooperative gameplay to the tried and true fighting madness of the Guilty Gear XX series."
930,"Gun Metal is a futuristic action-packed experience where you take control of the fully transformable prototype combat vehicle known as the Havoc Suit.The Havoc Suit, a prototype combat vehicle, remains the only hope to save civilization from a tireless enemy."
931,"Hyper Fighters brings back the rail shooter as you know it from the arcade: fast, explosive, addictive, and easy to learn: but so hard to beat the number one highscore! Fourteen trigger-happy arcade-fun stages are now available for one or two players: Shoot dozens, hundreds, or even thousands of enemies out of the sky and water with..."
932,"Developed by Shinji Mikami -- creator of the seminal Resident Evil series -- and the talented team at Tango Gameworks, The Evil Within embodies the meaning of pure survival horror. Highly-crafted environments, horrifying anxiety, and an intricate story are combined to create an immersive world that will bring you to the height of tension."
933,"Widely known in small circles as AntiSquad, they are a military tactical response unit. These hardened military professionals, tired of bureaucracy, politics and serving the armed forces, have established a private paramilitary formation located in south United States."
934,"In a world oppressed by ruthless machines, a stronghold full of die-hard TV-sets resists the persecution. Your lost friends and the lack of resources drive you to take action against the extinction. Brave the dangers and go find your comrades to rescue your species!"
935,"Classic gameplay. New experience. Now on Mac!Panzer Corps Wehrmacht is the award-winning turn-based strategy game that the press has called “…nothing short of brilliant” and “the spiritual successor to the Panzer General series”, with high rankings and praise around the world."
936,"Aura Kingdom is a free-to-play Anime MMORPG featuring strong PVE elements, a uniquely detailed world, and an engaging, well-crafted story. Aura Kingdom empowers players as Envoys of Gaia, gifted individuals that take the role of one of the thirteen classes."
937,"When the fate of a world hangs in the balance, an unusual hero arises! The visually impressive adventure-epic The Whispered World is now available as a Special Edition for the first time. Let the Whispered World enchant you with its many animated details and fantastic characters."
938,"Explore, craft, and survive in this Multiplayer RPG Platformer with permanent death! Featuring many Rogue-like elements, Magicite randomly generates each underground dungeon for you and your friends to delve deep into."
939,"Satellite Reign is a real-time, class-based strategy game, set in an open-world cyberpunk city. You command a group of 4 agents through rain-soaked, neon-lit streets, where the law is the will of mega-corporations."
940,Schoolgirls fight aliens with the power of science! Gather a team of science-themed specialists and defend your homeworld in classic turn-based combat.
941,"The Yawhg is a one-to-four player choose-your-own-adventure game that randomizes a unique story every time you play. The evil Yawhg is returning. How will the town’s locals lead their lives in the meanwhile, and what will they do when the dreaded Yawhg finally arrives?"
942,"In the old days man tried to catch a glimpse of the future in the strangest of ways.Experience the ancient Swedish phenomena of year walking through a different kind of first person adventure that blurs the line between two and three dimensions, as well as reality and the supernatural."
943,"Set on Mars in an alternate Cold-War era, Super Motherload is a 1 to 4-player couch co-op digging adventure with storyline by Image Comics' Kurtis Wiebe, a fully voiced cast of Soviet and American characters, and a procedurally-generated world that changes each time you play."
944,"Hero Siege is a Hack N Slash Roguelike RPG with randomly generated zones, loot, randomized enemies, bosses and more! 4 Player Online Multiplayer!"
945,"From the author of Spice and Wolf, Isuna Hasekura, comes WORLD END ECONOMiCA. This is the first episode out of three part sci-fi/economic thriller visual novel set on the moon."
946,Enter the world ripe with magic and monsters. Become the Black Swordsman and slay thousands of enemies in an epic action RPG!
947,"You play as Brad the barbarian, who is awoken to the sounds of his town under siege. Today is different though; Brad has grown tired of fighting all the time. The usual grind for XP has grown dull, and he has decided to pursue his dreams of making music instead of shedding blood."
948,"A game inspired by classic Magic Carpet, with modern graphics and features. You play as a sorcerer, exploring mysterious worlds, changing them, discovering ancient secrets, creating new spells, fighting creatures and other mages, building and destroying as you please."
949,"Dex is a 2D, side-scrolling, open-world cyberpunk RPG with a focus on exploration and non-linear gameplay."
950,"The Golf Club is a visually stunning golf simulation that features procedurally generated courses, a fully featured course editor, asynchronous online play and outstanding gameplay. Create and share courses with your friends and compete with both friends and rivals in this fresh take on golf."
951,"A fantasy Action RPG, playable by yourself or in co-op with up to three friends! Features an unrestricted skill system, fluid and challenging combat, and an engaging story. For additional value, there's also a fleshed out, challenging roguelike mode to truly put your ARPG skills to the test!"
952,"Filled with mystery, humor, and suspense, and brought to life in rich 3D-animation, AR-K is a point-and-click story game with a twist"
953,"Quest of Dungeons is a turn based dungeon crawler game featuring a good old 16-bit retro artistic look. By playing as either a Warrior, Wizard, Assassin or Shaman you have to traverse dungeons, defeat enemies and loot everything you can in order to survive."
954,"RUNNING WITH RIFLES is a top-down tactical shooter with open world RPG elements. In RWR, you join the ranks of an army as a common soldier, just like the thousands around you."
955,"Depression Quest is an interactive fiction game where you play as someone living with depression. You are given a series of everyday life events and have to attempt to manage your illness, relationships, job, and possible treatment."
956,A futuresport FPS where you race around a skate park / dance club and nail each other with dodgeball trick shots. Singleplayer + Local Multiplayer + Online Multiplayer with 27 different objective-based game modes...or create your own!
957,"Darkness is coming. How long can YOU survive? Build your base by day, defend it by night. Play in online or local co-op. Stay alive as long as you can."
958,"Shadows over Riva (1997) is the third part of the glorious Realms of Arkania Trilogy...Something sinister lurks in the seaside town of Riva. An evil force has subverted the city's leaders, and evil things lurk in the town's sewers. Explore the huge city, dungeons and even underwater regions in stunningly detailed 3D."
959,The saga continues! Etherlords II takes you back to the world of Ether and into a whole new realm of fantastic possibilities. Lead your hero on an unforgettable journey through lands filled with unsurpassed beauty and danger to unlock the ultimate mystery.
960,Now you can own and operate your own auto repair service with PlayWay’s Car Mechanic Simulator 2014. Car Mechanic Simulator 2014 gives you the behind the scenes view of the daily dealings at local garages and dealership repair shops.
961,"Economic booms, stock market crashes, oil crises, upswings, triumphs... Now you can become the greatest power in industry!"
962,"Grab a friend, grab a gadget, grab a gun and get ready for the most fun you'll ever have in a co-op game!"
963,"Los Santos is a city of bright lights, long nights and dirty secrets, and they don’t come brighter, longer or dirtier than in GTA Online: After Hours. The party starts now."
964,"Humanity Asset is a Metroid-style 3D platformer that pays homage to the traditional retro classic shoot ‘em up genre. Aliens have invaded Earth to strip the planet of its resources, to save their own dying planet. As in all classic shoot 'em ups, only you can save the day - now there’s a surprise!"
965,"Ninjas are cool, this is an established fact of the universe. Nazi Robots from space are not cool, they are the complete opposite of cool, and Robot Hitler is out to get you, the world's first ninja. You have 10 seconds to destroy all Nazi Robots in your vicinity. IT. IS. ON."
966,"Stealth, Hack, Steal - Light combines unique game mechanics, atmospheric visuals &amp; a gripping narrative that breathes new life into a much loved genre. Combat is your last option &amp; technology your first, can you evade capture &amp; solve the mystery? - Step out of the shadows and into the Light."
967,Card City Nights is not a traditional card-trading game. It's an adventure game with zany characters to meet and weird locations to explore. In the center is our new card battle system that breaks away from the fantasy TCG mold with connecting cards to form combos.
968,"KAMI is deceptively simple: fold out coloured paper to fill the screen in as few moves as possible. Relaxing and easy to pick up, you'll soon find yourself deep in contemplation to perfect each puzzle. Created by State of Play, famous for their handcrafted aesthetic, KAMI has been created with real paper in an elegant Japanese theme."
969,"How long has it been? A man sits in a distant getaway cabin waiting for his wife Serena. Where is she? Things in the cabin evoke memories, and the husband comes to a disturbing realization... This short point-and-click adventure is the result of a massive collaborative effort between dozens of fans and designers of adventure games."
970,"In the second part of the unfolding saga that could also be enjoyed independently, you can explore new corners of this unique world and experience the mix of old-school gothic and mad science, with more action, powerful foes and plenty of stunning places to visit."
971,"Detective Grimoire has been called to investigate a murder. The owner of a small tourist attraction, found deep within the heart of the marshes, seemingly killed by the very mythical creature his attraction is based around..."
972,"Vertiginous Golf is a dystopian steam punk mini golf adventure game set in the skies above an alternate world where life on the ground is enveloped in permanent smog, constant darkness and never-ending rain."
973,Take the lead of your favourite rugby union team.Pro Rugby Manager 2015 covers all aspects of the challenges of a real rugby union manager: guarantee sporting success on the field and financial success off it and be the next Champion!
974,"From the creators of AI War: Fleet Command comes an all-new grand strategy title with turn-based tactical combat, set in a deep simulation of an entire solar system and its billions of inhabitants. You are the last of a murdered race, determined to unify or destroy the 8 others."
975,"Over 9000 Zombies! is top-down arcade action blown out of all reasonable proportions. An endless horde of zombies is coming your way, how long can you survive?"
976,"Prepare To Start Your Descent.Sensory overload in 360° 3-D.Welcome to Descent™ - 27 levels of the most mind-bending, stomach-churning action game ever. Featuring true 3-Dimensional worlds with light source shading, texture mapping, 3-D morphing, directional sound effects and sizzling music, this is technology taken to the limit."
977,"You're going down... again.If you thought Descent™ went to the edge of 360° 3D power-blasting sensory insanity, then prepare yourself. You're about to plunge over the edge, and into the depths of Descent II™."
978,"In this simulation, the player works as the owner a large car park, on which the towed vehicles will be parked. A huge armada of different towing vehicles is ready to go. The trucks are on the road to find illegally parked cars. For each order you earn money, as being towed might be very expensive for the owner."
979,Welcome to the Game Industry!The year is 1982. Three young entrepreneurs discover the computer and potential to strike it rich in the Games Industry! Their love for computer games is a common bond that they all share but they are also in fierce competition with one another in a race to build a successful Games Development House…They...
980,Are you ready for your new challenge? Get ready to take over the control of your original &quot;Jungheinrich&quot; Forklift! Just the best drivers will level up in the Highscore list. The fastest drivers will receive a special bonus. Enjoy the game in full 3D and feel the realistic driving experience.
981,"When evil threatens the world, the world calls on Broforce - an under-funded, over-powered paramilitary organization dealing exclusively in excessive force. Brace your loins with up to four players to run ‘n’ gun as dozens of different bros and eliminate the opposing terrorist forces that threaten our way of life."
982,Ronin is stylish a turn-based action platformer following the exploits of a vengeful heroine determined to strike down five prominent figures of a powerful corporation.
983,"OlliOlli mixes addictive one-life gameplay with over 120 tricks and grinds across 50 deviously crafted levels, 250 Challenges, Spots Mode and Daily Grind."
984,Professional assassin turned amateur campaign manager Steve is charged with cleaning up the city by an anthropomorphic rabbit and mayoral candidate from the future named BunnyLord.
985,"Gods Will Be Watching is a minimalistic “point and click thriller” centered on despair, commitment, and sacrifice as players face intriguing puzzles and tough decisions that will affect their entire crew’s wellbeing."
986,Set out on a cross-country journey to win back the love of your life and endure the hardship of making story-defining choices that affect your life and the lives of those around you.
987,"A deep, tactical shoot'em up. With every takedown, you’ll earn cash and xp to upgrade your ship and unlock new abilities. Online and local co-op. Unique versus mode. Realistic physics and water simulation."
988,The #1 rated Xbox Live Indie Game. Halo-inspired. Destructible/constructible environments. Vehicles. Zombie survival. Hookshots. Infection mode: Be the zombie &amp; eat the dead to level up your zombie abilities. We host 30-player games every week. Join us!
989,"FaceRig is a program that aims to enable anyone with a webcam to digitally embody awesome characters. The output can be recorded as a movie or streamed to Skype, Twitch, Hangouts or any service that traditionally uses a webcam in real time."
990,"Play as a shark or a diver in a dark aquatic world and overcome your enemies by employing cunning, teamwork, and stealth. Depth blends tension and visceral action as you team up against AI or be matched with other players in heart pounding combat."
991,Influent is a Language Learning Game focused on vocabulary acquisition and pronunciation that gives players the freedom to choose the words they want to learn without the need for pencils or books!
992,"Guide a powerful Lynx through vast open landscapes. Give birth to your cubs, raise and strengthen them by mastering your skills for hunting prey. Explore the wild beauty of nature and do everything possible to prepare your family for the vicious entities dwelling on the cold tundra."
993,"Chip is an isometric puzzle game with robots, electricity and fancy dress! The player must help recharge Chip - a plucky little red robot - who has been imprisoned by the nefarious villain, Rust."
994,"Canyon Capers is a retro style platform game brought right up to date, with tons of levels, modes, collectables and secrets."
995,"“Z”, the classic Real Time Strategy Game by the Bitmap Brothers. Fans of this classic strategy title are in for a real treat. Everything is in here from the terrific comedy cut scenes to the frantic game play making this is the definitive version of Z."
996,"Space Run is a «real-time spaceship construction strategy game». Space Run takes the well-known Tower Defense-style gameplay and twists it, challenging you to manage and protect a spaceship and its cargo against the hazards of deep space!"
997,"FRITZ CHESS 14! The Ultimate Chess SoftwarePlay against FRITZ or play online at playchess.comFRITZ CHESS 14 is the most comprehensive chess program in the world. Whether you are new to the game or a Grandmaster, FRITZ 14 is suitable for all skill levels!"
998,"Mina’s rescue from the end of the first game is cut dramatically short and she and primate pal Jep are left again on the mysterious island to fend for themselves! Mina needs to dress her wounds and keep safe against the local wildlife, but now she has the assistance of the player controlled Jep who can fit in smaller spaces, move deftly..."
999,"It is a time of war in Europe. Driven by new ideas of Enlightenment, the hearts of men and women across the continent are inflamed with dreams of freedom and glory. This is the moment for a military genius to forge himself a name to be remembered throughout all eternity. This is your moment."
1000,"Praetorians is set amidst the political machinations of an emerging Roman Empire. You will be transported back to the dusty battlefields of Egypt, the combat theaters of Gaul and finally to the heart of the Empire itself, Italy in the crusade to become Emperor."
1001,"Your battleships are fully loaded with the return of Battle Group. Command the war against advanced pirates with brand new Satellite Strikes and upgrades for your state-of-the-art battleships. As the commanding gunner of this advanced armada, it's imperative you stop a terrifying new foe our world has yet to fathom."
1002,"Whether you specialise in grain, fruits or even maintaining your own dairy farm, in Farming World you have the ultimate choice on how you shape your business. With dozens of seed types to choose from and an extensive stock market listing, you’ll have to adapt to become profitable."
1003,"Shiny the Firefly is a challenging platform adventure game. Journey through a mysterious garden as Shiny, a brave firefly on a quest to find his children, lost in a terrible accident. Master trials,solve puzzles and use your stealth to guide your children to safety."
1004,"Play as Adewale, an ex-slave turned Assassin fighting for freedom with the help of his own Pirate crew."
1005,Strategists to the frontline!The HD remake of the Nintendo DS classic.Are you the strategist that the world has been waiting for?
1006,"A Story About My Uncle is a first person platforming adventure game about a boy who searches for his lost uncle, and ends up in a world he couldn’t imagine existed. The movement is a crucial part of the games core gameplay – focusing on swinging through the world with a grappling hook that gives the player a wonderful sense of speed and..."
1007,0RBITALIS is a satellite launching simulator with a retro-puzzle style. Launch your satellite into orbit and go head to head with the dominant force that formed the entire universe: Gravity.
1008,"Life under the rule of the winged Skyborn race isn't so bad for Claret Spencer, the star mechanic of an independent repair shop. She can patch up just about anything...but when a certain cravat-wearing customer turns her life upside-down, she finds herself pulled into an epic, city-wide conflict that's going to take a lot more than elbow..."
1009,"In this extensive old-school RPG, explore countless unique places, defeat tons of enemies and complete richly developed quests. The game features addictive gameplay and an adventure worth about 40H of playtime."
1010,"LA Cops is a fast, action packed 3D top down shooter set to a theme of 70s Cops in LA trying to do a tough job in a tough town."
1011,Angvik is a platform action game set in a joyful but unforgiving land.
1012,"For Sommerlund and the Kai! Lone Wolf is back with an exclusive storyline, stunning graphics and a deep combat system. Make meaningful choices and carve your own path."
1013,"Every world needs its heroes. However unlikely they may seem. Join Wilbur, Ivo, Nate and Critter in another classic point-and-click adventure in the wicked world of Aventásia. Help them fulfill their destiny. A destiny as yet unwritten."
1014,"Traverse through rich, detailed environments, recruit colorful characters and fight your way through dangerous hordes of enemies in this exciting old-school RPG incorporating 40 quests, 26 secret rooms, 8 animal kings and countless secrets and items to discover."
1015,"Reunite the kingdom of Adventuria and defeat the evil Illusionist Miraj by recruiting Adventurers to send on Adventures for epic loot and rewards in this RPG/Management Sim with tons of depth, randomization, and customization options!"
1016,"Bloodlust is a dungeon crawling / action RPG experience that will allow players to explore the dark underworld of a forgotten society of Vampires and their disciplines, all while trying to battle for hierarchy among the clans in search of their sire."
1017,"In this build-up strategy game you build global colonies on distant planets. Establish space trade and research to lead your corporation into wealth and prosperity. Find allies, compete against rivals, and protect your civilization from natural disasters and alien invaders."
1018,An adventure as big as your imagination.
